country,year,primary_energy_consumption,per_capita_energy,population,gdp,pm25_concentration,pm10_concentration,no2_concentration,num_cities_measured
Guatemala,2013,59.213,3.84816374033223e-06,15387339.0,107099471666.0,40.88,56.125,34.75,2
Guatemala,2014,62.559,3.989293269713631e-06,15681725.0,111858970345.0,35.17,46.75,41.67,1
Guatemala,2019,90.71,5.303498876828738e-06,17103803.0,132535316516.0,14.0,,,1
Honduras,2013,36.737,4.132732519498776e-06,8889276.0,38446700070.0,36.0,58.5,,1
Honduras,2014,38.896,4.2916754890447854e-06,9063127.0,39484545761.0,,43.0,,1
Honduras,2015,44.247,4.7900329381748316e-06,9237306.0,40757802007.0,,31.5,,1
Honduras,2016,41.981,4.460189665100645e-06,9412380.0,42125312119.0,,40.0,,1
Hungary,2010,277.827,2.7840809337248706e-05,9979128.0,200496589291.0,21.6425,29.776315789473685,20.978333333333335,19
Hungary,2011,269.464,2.709086202173088e-05,9946675.0,208407605976.0,,,7.16,1
Hungary,2013,238.041,2.4070454015958995e-05,9889344.0,209511661762.0,17.023333333333333,26.223157894736843,19.34777777777778,19
Hungary,2014,238.269,2.415824727211008e-05,9862843.0,218378634753.0,15.8525,25.303333333333335,18.820625,17
Hungary,2015,251.04,2.551424092846469e-05,9839211.0,226474616785.0,,26.42111111111111,19.728823529411763,19
Hungary,2016,255.495,2.6042938153487952e-05,9810529.0,231459349147.0,10.13,24.03,18.81823529411765,19
Hungary,2017,269.293,2.75192915963934e-05,9785608.0,241347220007.0,14.85,27.145294117647058,20.31,19
Hungary,2018,271.203,2.7746269717972313e-05,9774395.0,254289117363.0,18.578333333333333,25.796315789473685,18.802222222222223,19
